Drug_ID,Drug,MW,LogP,HBD,HBA,TPSA,RotBonds,Rings,FractionCSP3,Y
(-)-epicatechin,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,290.271,1.5460999999999998,5,6,110.38000000000001,1,3,0.2,-6.2199998
"(2E,4Z,8Z)-N-isobutyldodeca-2,4,10-triene-8 -ynamide",C/C=C\C#CCC/C=C\C=C\C(=O)NCC(C)C,245.36599999999999,3.2307000000000015,1,1,29.1,6,0,0.4375,-3.8599999
codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,299.3700000000001,1.5010999999999999,1,4,41.93,1,5,0.5555555555555556,-4.0900002
creatinine,CN1CC(=O)NC1=N,113.11999999999999,-1.0172299999999999,2,2,56.190000000000005,0,1,0.5,-5.935409099999998
danazol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,337.46300000000014,4.221000000000004,1,3,46.260000000000005,0,5,0.6818181818181818,-4.8400002
dexamethasone b D glucoside,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,554.6080000000004,-0.28009999999999885,6,10,173.98,5,5,0.7857142857142857,-6.54
dexamethasone b D glucuronide,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO[C@H]1O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]1O,568.5910000000005,-0.18779999999999786,6,10,191.04999999999995,5,5,0.75,-6.119999900000002
DMXAA-G,Cc1ccc2c(=O)c3cccc(CC(=O)OC4OC(C(=O)O)[C@@H](O)[C@@H](O)[C@@H]4O)c3oc2c1C,458.41900000000015,0.5409399999999992,4,9,163.73000000000002,4,4,0.34782608695652173,-6.52
d-praeruptorin,C/C=C(\C)C(=O)O[C@H]1[C@@H](OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C,386.40000000000015,3.446200000000002,0,7,92.04,3,3,0.38095238095238093,-4.579999900000002
echinacoside,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,786.7330000000005,-3.191699999999994,12,20,324.44,13,5,0.5714285714285714,-6.650000099999999
EF5154,O=C(O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,375.4250000000001,0.228900000000001,2,6,99.18,7,3,0.5263157894736842,-6.119999900000002
EF5170,CCCCOC(=O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,431.53300000000024,1.4876000000000007,1,7,88.18,10,3,0.6086956521739131,-5.79
EF5232,CCCCC(C)OC(=O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,459.5870000000003,2.2662000000000004,1,7,88.18,11,3,0.64,-5.29
EF5242,CCCCCCC(C)OC(=O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,487.64100000000036,3.046400000000001,1,7,88.18,13,3,0.6666666666666666,-4.7399998
EF5248,CCCCOC(=O)COc1ccc(C(=O)CN2CCN(C3CCN(C(=O)OCc4oc(=O)oc4C)CC3)CC2=O)cc1,587.6260000000003,2.39142,0,11,149.04000000000002,12,4,0.5517241379310345,-4.3499999
EF5249,Cc1oc(=O)oc1COC(=O)N1CCC(N2CCN(CC(=O)c3ccc(OCC(=O)OC4CCCCC4)cc3)C(=O)C2)CC1,613.6640000000001,2.9240200000000005,0,11,149.04,10,5,0.5806451612903226,-4.3099999
EF5251,CCOC(=O)COc1ccc(C(=O)CN2CCN(C3CCN(C(=O)OC(C)OC(C)=O)CC3)CC2=O)cc1,533.5780000000004,1.4655000000000011,0,10,131.99,10,3,0.5769230769230769,-4.2800002
EF5261,O=C(COc1ccc(C(=O)CN2CCN(C3CCN(C(=O)OC/C=C4/OC(=O)c5ccccc54)CC3)CC2=O)cc1)OC1CCCCC1,659.736,4.080700000000003,0,10,131.99,10,6,0.4722222222222222,-4.4000001
EF5264,CC(=O)OC(C)OC(=O)N1CCC(N2CCN(CC(=O)c3ccc(OCC(=O)OC4CCOCC4)cc3)C(=O)C2)CC1,589.6420000000003,1.6246000000000005,0,11,141.22000000000003,10,4,0.6206896551724138,-4.5100002
EF5265,CCOCC(COCC)OC(=O)COc1ccc(C(=O)CN2CCN(C3CCN(C(=O)OC(C)OC(C)=O)CC3)CC2=O)cc1,635.7110000000002,1.8872000000000027,0,12,150.45,16,3,0.6451612903225806,-4.1500001000000015
EF5270,CCOC(=O)COc1ccc(C(=O)CN2CCN(C3CCN(C(=O)OC(OC(C)=O)C(C)(C)C)CC3)CC2=O)cc1,575.6590000000003,2.4917000000000007,0,10,131.99,10,3,0.6206896551724138,-4.02
EF5278,CCOC(=O)COc1ccc(C(=O)CN2CCN(C3CCN(C(=O)OC(OC(=O)C(C)(C)C)C(C)(C)C)CC3)CC2=O)cc1,617.7400000000001,3.5179000000000027,0,10,131.99,10,3,0.65625,-4.0
EF5283,CCOC(=O)COc1ccc(C(=O)CN2CCN(C3CCN(C(=O)OC(C)OC(=O)C(C)(C)C)CC3)CC2=O)cc1,575.6590000000003,2.4917000000000007,0,10,131.99,10,3,0.6206896551724138,-4.1399998999999985
EF5292,CC(C)(C)C(=O)OCOC(=O)N1CCC(N2CCN(CC(=O)c3ccc(OCC(=O)OC4CCCCC4)cc3)C(=O)C2)CC1,615.7240000000002,3.4160000000000013,0,10,131.99000000000004,10,4,0.65625,-4.4400001
elarofiban,O=C(O)C[C@H](NC(=O)[C@@H]1CCCN(C(=O)CCC2CCNCC2)C1)c1cccnc1,416.52200000000016,1.7320000000000004,3,5,111.63000000000001,8,3,0.6363636363636364,-6.21
5-chlorosalicylic acid,O=C(O)c1cc(Cl)ccc1O,172.567,1.7437999999999998,2,2,57.53,1,1,0.0,-4.98
epinephrine,CNC[C@H](O)c1ccc(O)c(O)c1,183.207,0.35060000000000013,4,4,72.72,3,1,0.3333333333333333,-6.125
eriodictyol ,O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,288.25500000000005,2.215500000000001,4,6,107.22000000000001,1,3,0.13333333333333333,-5.2800002
erythromycin,CC[C@@H]1OC(=O)[C@@H](C)[C@H](O[C@H]2C[C@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H](N(C)C)[C@H]2O)[C@@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@@]1(C)O,733.9370000000002,1.785600000000004,5,14,193.91,7,3,0.9459459459459459,-5.7800002
famotidine,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,337.456,-0.7679999999999998,4,6,175.82999999999998,7,1,0.375,-6.0700002
fexofenadine,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,501.66700000000014,5.510500000000006,3,4,81.0,10,4,0.40625,-6.5100002
fexofenadine hydrochloride,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1.Cl,538.1280000000002,5.932300000000009,3,4,81.0,10,4,0.40625,-5.6999998
fluparoxan,Fc1cccc2c1O[C@H]1CNC[C@@H]1O2,195.19299999999998,0.9373,1,3,30.49,0,3,0.4,-4.0999998999999985
AACV,C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@@H](C)N,294.315,-0.7322999999999984,3,9,129.78,6,2,0.4166666666666667,-5.6900001
glycerol,OCC(O)CO,92.09400000000001,-1.6681000000000001,3,3,60.69,2,0,1.0,-4.829999900000002
glycine-valine acyclovir,CC(=O)C(NC(=O)CN)c1ccc(O)cc1,222.244,0.09720000000000012,3,4,92.42,4,1,0.2727272727272727,-5.2800002
guanabenz,NC(N)=N/N=C/c1c(Cl)cccc1Cl,231.086,1.6007000000000005,2,2,76.76,2,1,0.0,-4.6799998
hesperetin ,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,302.28200000000004,2.518500000000001,3,6,96.22000000000001,2,3,0.1875,-4.7399998
hexapeptide 01,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,440.5010000000002,-2.629599999999992,5,6,165.81,0,1,0.6842105263157895,-5.8200002
hexapeptide 03,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC1=O,440.50100000000015,-2.629599999999992,5,6,165.81,0,1,0.6842105263157895,-5.8200002
hexapeptide 05,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC1=O,440.5010000000002,-2.629599999999993,5,6,165.81,0,1,0.6842105263157895,-5.8200002
hexapeptide 06,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,440.5010000000002,-2.629599999999992,5,6,165.81,0,1,0.6842105263157895,-5.8200002
hexapeptide 07,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,454.52800000000025,-2.287399999999992,4,6,157.02,0,1,0.7,-5.8200002
