Bit,RF_importance,Adjusted_bit_coefficient,Model_R2,N_present
Bit_1104,0.0121350031847197,-1.4232858332570126,0.5936210426023564,79
Bit_1921,0.0111154905429773,-0.09644850998041282,0.44908171425251286,96
Bit_1037,0.0106055523344056,-0.07449624875449974,0.44865059430407106,42
Bit_1844,0.0104842500536767,-0.31482373121566576,0.45357531183821975,68
Bit_1171,0.0097780083358094,-0.3538904401789435,0.4766091218003363,350
Bit_623,0.0092690427550542,-1.1612026318544273,0.5675807926991399,98
Bit_82,0.0082014903618278,-1.4955275683537421,0.5564851403835438,51
Bit_489,0.0078128956526083,-0.1286229813049087,0.44894964282146743,40
Bit_1607,0.0076059428502701,-0.1681454644440787,0.4507167959037207,104
Bit_1019,0.0069428140178354,-0.31831871662280603,0.4686343631893244,578
Bit_1290,0.0068134295590671,-0.9232060758240906,0.513682634693415,86
Bit_1754,0.0066871559403705,-0.36298012893154014,0.47790168831067203,390
Bit_1977,0.0066617985116747,-0.32614916900781227,0.4525433209931039,46
Bit_610,0.0065019774535098,-0.08652134565813986,0.4488338512371485,61
Bit_1066,0.0064644261946864,-0.47804941052491023,0.48430317253109145,232
Bit_1487,0.0063312730146363,0.0614808559385021,0.44876203119463187,99
Bit_80,0.0063023460248859,-0.42829976831040173,0.4855160378576534,877
Bit_550,0.0062348890452598,-1.0996859622914439,0.521069048797298,66
Bit_389,0.0061964996161679,-0.23377840328933325,0.4637569100469068,463
Bit_786,0.0059821608765136,-0.3536761918604722,0.4567311994601655,72
