Bit,Importance,N_present,N_absent,Mean_Y_present,Mean_Y_absent,Difference_present_minus_absent
Bit_1104,0.0121350031847197,35,875,-6.430531394285714,-5.191857032114286,-1.2386743621714276
Bit_1921,0.0111154905429773,88,822,-5.916181369318181,-5.167055403163017,-0.7491259661551641
Bit_1037,0.0106055523344056,36,874,-6.482068752777778,-5.18831696430206,-1.293751788475718
Bit_1844,0.0104842500536767,62,848,-6.149986343548387,-5.172929656367924,-0.9770566871804629
Bit_1171,0.0097780083358094,230,680,-5.5707875060869565,-5.127444669852942,-0.4433428362340148
Bit_623,0.0092690427550542,52,858,-6.10853164423077,-5.18682966946387,-0.9217019747669006
Bit_82,0.0082014903618278,23,887,-6.5146296,-5.206434071138671,-1.3081955288613294
Bit_489,0.0078128956526083,36,874,-6.370444047222223,-5.192914778260869,-1.1775292689613535
Bit_1607,0.0076059428502701,86,824,-5.883402794186048,-5.172294734951456,-0.7111080592345917
Bit_1019,0.0069428140178354,474,436,-5.408287781012659,-5.055997921330276,-0.3522898596823829
Bit_1290,0.0068134295590671,38,872,-6.210042865789473,-5.1972039827981655,-1.012838882991307
Bit_1754,0.0066871559403705,221,689,-5.530586782352941,-5.14613036719884,-0.38445641515410145
Bit_1977,0.0066617985116747,37,873,-6.307871494594596,-5.194217934249713,-1.1136535603448827
Bit_610,0.0065019774535098,52,858,-6.08421365,-5.188303487296038,-0.8959101627039621
Bit_1066,0.0064644261946864,130,780,-5.694890124615385,-5.16359972525641,-0.5312903993589746
Bit_1487,0.0063312730146363,78,832,-5.876080375641025,-5.179818789182692,-0.6962615864583332
Bit_80,0.0063023460248859,621,289,-5.351011961030596,-4.999879149134948,-0.35113281189564827
Bit_550,0.0062348890452598,33,877,-6.4409499666666665,-5.194289798175597,-1.2466601684910694
Bit_389,0.0061964996161679,295,615,-5.439286128135593,-5.143665193658537,-0.2956209344770562
Bit_786,0.0059821608765136,57,853,-5.7723834754385965,-5.203889383118405,-0.5684940923201918
