Bit,Importance,N_present,N_absent,Mean_Y_present,Mean_Y_absent,Difference,Cohens_d,t_stat,p_value,CI_95_low,CI_95_high
Bit_1104,0.0121350031847197,35,875,-6.430531394285714,-5.191857032114286,-1.2386743621714276,-1.6734349624581435,-7.8605825832797,2.6542630815555197e-09,-1.5475320993854849,-0.9298166249573703
Bit_1921,0.0111154905429773,88,822,-5.916181369318181,-5.167055403163017,-0.7491259661551641,-1.0049882868966913,-9.9187094727132,4.9056343009403763e-17,-0.8971580158591546,-0.6010939164511737
Bit_1037,0.0106055523344056,36,874,-6.482068752777778,-5.18831696430206,-1.293751788475718,-1.758904796699795,-17.14324792926937,3.533864999777591e-21,-1.4416673710931174,-1.1458362058583185
Bit_1844,0.0104842500536767,62,848,-6.149986343548387,-5.172929656367924,-0.9770566871804629,-1.324686591060447,-9.014645454017094,3.143249838030278e-13,-1.1894922307237015,-0.7646211436372242
Bit_1171,0.0097780083358094,230,680,-5.5707875060869565,-5.127444669852942,-0.4433428362340148,-0.5884841225249555,-6.852705895719882,3.574339389367152e-11,-0.5701470464601397,-0.31653862600788996
Bit_623,0.0092690427550542,52,858,-6.10853164423077,-5.18682966946387,-0.9217019747669006,-1.23289877740462,-6.895860822163262,5.6912564510135065e-09,-1.1836759207515597,-0.6597280287822416
Bit_82,0.0082014903618278,23,887,-6.5146296,-5.206434071138671,-1.3081955288613294,-1.7442493844608757,-7.94680957626285,4.71368279954602e-08,-1.6308486907323616,-0.9855423669902972
Bit_489,0.0078128956526083,36,874,-6.370444047222223,-5.192914778260869,-1.1775292689613535,-1.5849557738548286,-10.787166636128587,2.8034520607550555e-13,-1.3914832612390289,-0.9635752766836782
Bit_1607,0.0076059428502701,86,824,-5.883402794186048,-5.172294734951456,-0.7111080592345917,-0.9490780560236346,-7.694661537975969,1.027874343744562e-11,-0.8922429654576954,-0.5299731530114881
Bit_1019,0.0069428140178354,474,436,-5.408287781012659,-5.055997921330276,-0.3522898596823829,-0.46510395168683655,-7.015093238350579,4.501417264841006e-12,-0.4507187902064512,-0.2538609291583146
Bit_1290,0.0068134295590671,38,872,-6.210042865789473,-5.1972039827981655,-1.012838882991307,-1.3491064270461373,-7.6605992271718435,2.3398554840247506e-09,-1.2719784296238554,-0.7536993363587587
Bit_1754,0.0066871559403705,221,689,-5.530586782352941,-5.14613036719884,-0.38445641515410145,-0.5058973106923457,-6.3363672398747255,7.173230804702063e-10,-0.5033785901442204,-0.2655342401639825
Bit_1977,0.0066617985116747,37,873,-6.307871494594596,-5.194217934249713,-1.1136535603448827,-1.4931517977862043,-9.370355613529169,1.379746166969561e-11,-1.3465967983928007,-0.8807103222969647
Bit_610,0.0065019774535098,52,858,-6.08421365,-5.188303487296038,-0.8959101627039621,-1.1956941019358114,-9.57396112197806,1.1396425537208761e-13,-1.0793226391625008,-0.7124976862454234
Bit_1066,0.0064644261946864,130,780,-5.694890124615385,-5.16359972525641,-0.5312903993589746,-0.7036361968810614,-6.970734997012203,6.980509145686659e-11,-0.6806762508064798,-0.38190454791146944
Bit_1487,0.0063312730146363,78,832,-5.876080375641025,-5.179818789182692,-0.6962615864583332,-0.9249129667983722,-6.975059921154944,5.348247689919589e-10,-0.8919119070124781,-0.5006112659041884
Bit_80,0.0063023460248859,621,289,-5.351011961030596,-4.999879149134948,-0.35113281189564827,-0.46186423048960723,-6.939747642929943,9.315591871022789e-12,-0.45030360984485235,-0.2519620139464442
Bit_550,0.0062348890452598,33,877,-6.4409499666666665,-5.194289798175597,-1.2466601684910694,-1.680498359277928,-9.444986679864005,4.3475103438406945e-11,-1.5053639669254022,-0.9879563700567366
Bit_389,0.0061964996161679,295,615,-5.439286128135593,-5.143665193658537,-0.2956209344770562,-0.3863177500542366,-5.354719666257396,1.2580736137421283e-07,-0.4038277254368536,-0.18741414351725877
Bit_786,0.0059821608765136,57,853,-5.7723834754385965,-5.203889383118405,-0.5684940923201918,-0.7428001188508301,-5.490143893080422,7.403032407850842e-07,-0.7714484123976553,-0.3655397722427282
