,importance
Bit_1104,0.012135003184719778
Bit_1921,0.011115490542977398
Bit_1037,0.010605552334405625
Bit_1844,0.010484250053676713
Bit_1171,0.009778008335809458
Bit_623,0.009269042755054233
Bit_82,0.00820149036182785
Bit_489,0.007812895652608355
Bit_1607,0.0076059428502701695
Bit_1019,0.006942814017835487
Bit_1290,0.0068134295590671305
Bit_1754,0.006687155940370551
Bit_1977,0.006661798511674788
Bit_610,0.006501977453509848
Bit_1066,0.006464426194686426
Bit_1487,0.006331273014636306
Bit_80,0.0063023460248859955
Bit_550,0.006234889045259891
Bit_389,0.006196499616167923
Bit_786,0.0059821608765136414
Bit_1990,0.005919404314794682
Bit_140,0.005567540160975285
Bit_79,0.005543390396420822
Bit_1764,0.005483915277950812
Bit_1234,0.0051600111807231005
Bit_1114,0.005087846018776919
Bit_573,0.0049630496532055215
Bit_338,0.004957547028407392
Bit_807,0.004736476109302574
Bit_1937,0.004722049985321728
Bit_1475,0.004700947887644903
Bit_1691,0.004688067156860529
Bit_589,0.004678710042858688
Bit_1381,0.004583499970074173
Bit_1602,0.0045168600587636165
Bit_315,0.004500420399538203
Bit_650,0.004425917123276399
Bit_1516,0.00396924252992642
Bit_1110,0.003631587406155935
Bit_1152,0.003584378391063581
Bit_301,0.0035465656374443423
Bit_935,0.0035192074846648116
Bit_966,0.003438062639591449
Bit_101,0.0033775748333500183
Bit_880,0.003297090893712769
Bit_1309,0.003242213464109038
Bit_1393,0.0031823889138008895
Bit_222,0.0031570229359027847
Bit_1323,0.0031559490199859074
Bit_1257,0.0031232759519628957
Bit_1898,0.00310089438486063
Bit_1259,0.0030316926958991104
Bit_5,0.0029963483691622206
Bit_1575,0.0029530831197481537
Bit_1042,0.0029344209939581416
Bit_551,0.002930542281150538
Bit_1715,0.002877773759041479
Bit_1943,0.002877073425352039
Bit_47,0.0028613530886591088
Bit_1745,0.002729775590687316
Bit_502,0.002694824179503591
Bit_998,0.002638615399364885
Bit_1917,0.0026154135190979313
Bit_1385,0.0026113693000251485
Bit_1057,0.0025886441896845963
Bit_1,0.0025768779677260794
Bit_736,0.0025572163084129737
Bit_1624,0.0025479674478463324
Bit_1082,0.0025403732670716754
Bit_192,0.0025337371165623248
Bit_1124,0.0025286631194197883
Bit_1149,0.002526237546323156
Bit_250,0.002513837764476229
Bit_387,0.0024497600546217898
Bit_1199,0.0024365742767693765
Bit_193,0.0024356583303627153
Bit_1088,0.0024260277450238667
Bit_1431,0.00238923625724934
Bit_878,0.0023787827352144183
Bit_1616,0.002342575894461631
Bit_314,0.0023225412741920246
Bit_675,0.002311738956801009
Bit_926,0.0022904258329391157
Bit_739,0.0022784462305366925
Bit_989,0.0022357381172624785
Bit_1941,0.0022278449295620407
Bit_334,0.002192202726861353
Bit_806,0.0021733588084527165
Bit_117,0.0021654340154760275
Bit_875,0.002162923191605577
Bit_364,0.002146259105938474
Bit_1750,0.0021409228549383167
Bit_684,0.002127178979605832
Bit_656,0.00202409339813955
Bit_715,0.0020138166495683217
Bit_745,0.0020109559076186704
Bit_1287,0.0020065233879833803
Bit_447,0.001998797179932675
Bit_753,0.001992321107892632
Bit_319,0.00199030169779829
Bit_283,0.0019510476772280237
Bit_2008,0.0019391771087238264
Bit_1480,0.001908917822735941
Bit_849,0.0019051524155865205
Bit_310,0.001842720350455154
Bit_1737,0.0018315960501716151
Bit_648,0.0018107493842672434
Bit_41,0.0017897733422630577
Bit_696,0.001789662828314018
Bit_857,0.0017849673138022903
Bit_1760,0.0017708222487819011
Bit_378,0.0017669929419864574
Bit_695,0.0017504040448503477
Bit_1097,0.0017122957157534883
Bit_116,0.0017011050822731486
Bit_1873,0.0016721588024484948
Bit_1313,0.0016663008196516867
Bit_1878,0.0016634555155662996
Bit_725,0.0016577726330855194
Bit_1778,0.0016475750094912046
Bit_1796,0.0016356042872043477
Bit_486,0.0016273379974125117
Bit_69,0.0016231316733815323
Bit_144,0.0016128635060718639
Bit_1208,0.001606141790082272
Bit_2016,0.0015889896358145092
Bit_606,0.0015883270297127267
Bit_1879,0.0015866737390374918
Bit_1476,0.001576481424521248
Bit_197,0.0015645897379125667
Bit_1664,0.0015597153039195347
Bit_343,0.0015565301582619305
Bit_416,0.0015518580750227056
Bit_1212,0.0014966665752528658
Bit_841,0.001496477835363437
Bit_1325,0.0014947903067709502
Bit_722,0.0014820164615437705
Bit_1039,0.0014566386172519818
Bit_1028,0.0014563687966651433
Bit_470,0.0014483892932208588
Bit_1448,0.0014335185688158308
Bit_1985,0.0014320471782530398
Bit_1609,0.0014288441426334474
Bit_1283,0.001427923170310265
Bit_2006,0.0014275672838834034
Bit_1422,0.0014264486532709804
Bit_1683,0.0014222010815749277
Bit_1855,0.0014132532264925128
Bit_1672,0.0014075832584951814
Bit_561,0.0014055420301769892
Bit_936,0.0014023878840338877
Bit_531,0.0013934064135350188
Bit_1083,0.0013925131835840702
Bit_203,0.0013912780491460402
Bit_1430,0.00138898836275828
Bit_216,0.0013819811374224012
Bit_328,0.0013762626093263167
Bit_959,0.0013759902312987149
Bit_294,0.001363155696271338
Bit_1849,0.0013602237420186638
Bit_170,0.0013600113190344676
Bit_476,0.0013566663587512358
Bit_119,0.0013549738624131008
Bit_1433,0.00135254017774453
Bit_1603,0.0013408922987535336
Bit_350,0.0013399700396132675
Bit_890,0.001339522746895844
Bit_1452,0.001335268732268821
Bit_598,0.0013279716212126912
Bit_749,0.00131798450818976
Bit_632,0.0013155341316517517
Bit_1145,0.0013148349605197596
Bit_694,0.0013078460496357394
Bit_697,0.0013032668007083293
Bit_1380,0.0012983058854375035
Bit_1009,0.0012960299376593132
Bit_1791,0.001292638684005887
Bit_1911,0.0012925022388428971
Bit_1017,0.0012878000674477368
Bit_191,0.0012850195818743632
Bit_981,0.0012771835628348329
Bit_932,0.001274025250167838
Bit_1087,0.0012706225521915068
Bit_811,0.0012637124101146165
Bit_1107,0.001262544926600701
Bit_760,0.0012611032545761444
Bit_383,0.0012566151391852807
Bit_251,0.001246719623807874
Bit_1141,0.0012451652316033022
Bit_1618,0.0012437126968210276
Bit_1783,0.001235466434945299
Bit_1866,0.0012256672822539083
Bit_1689,0.0012072692120387097
Bit_698,0.0012069881431987883
Bit_621,0.001195277213321327
Bit_446,0.0011869717357034073
Bit_1527,0.0011856264421578673
Bit_1928,0.001182940111617779
Bit_1427,0.001175583728816223
Bit_896,0.0011557443718915577
Bit_1853,0.0011538394877247046
Bit_160,0.0011482378723230993
Bit_1365,0.0011451775296148284
Bit_1182,0.0011350667415142277
Bit_1222,0.0011343019200938966
Bit_1357,0.0011323861459103701
Bit_475,0.001128870860037155
Bit_1279,0.0011254706172715186
Bit_167,0.0011177978080322362
Bit_354,0.0011151167680471163
Bit_1573,0.0011039764876472052
Bit_186,0.0011038290380389398
Bit_577,0.0010965538551049648
Bit_198,0.0010919757049186814
Bit_649,0.0010872145407263274
Bit_1160,0.0010868714657630257
Bit_1060,0.0010853743981439163
Bit_1077,0.0010828627333353744
Bit_1724,0.0010817464117431582
Bit_1718,0.0010806653286006308
Bit_1829,0.0010779191090227794
Bit_1558,0.00107608077256597
Bit_898,0.0010752990376858057
Bit_1596,0.0010740959943145827
Bit_456,0.0010685351238302145
Bit_1243,0.001065654679262073
Bit_1697,0.0010539077785608232
Bit_1034,0.0010529491330725333
Bit_1457,0.0010525978479619573
Bit_699,0.0010511102215344519
Bit_911,0.0010450087421406736
Bit_961,0.001038996200273198
Bit_205,0.0010376743103170582
Bit_2009,0.001017423511739855
Bit_1085,0.00101265238747116
Bit_1349,0.001006572834586418
Bit_667,0.0009899657101854417
Bit_1840,0.0009881472429382379
Bit_1722,0.0009844356613344391
Bit_227,0.0009820462023231215
Bit_1970,0.0009731138865145442
Bit_750,0.000969858792250907
Bit_376,0.0009647194713197234
Bit_1482,0.0009632078464861839
Bit_832,0.0009621499052267651
Bit_974,0.0009580161852175973
Bit_233,0.0009482617854354049
Bit_280,0.0009432053245036476
Bit_1413,0.0009422798221355923
Bit_457,0.0009333028757126936
Bit_979,0.000923038981086033
Bit_881,0.0009184234597327862
Bit_1564,0.0009114976798118478
Bit_1237,0.000908458155870048
Bit_245,0.0009077121227213194
Bit_823,0.0009072740309064489
Bit_188,0.0008995994192514831
Bit_1063,0.0008939730621500803
Bit_1517,0.0008903813088191164
Bit_305,0.0008831981301104257
Bit_443,0.0008805171652619287
Bit_652,0.0008802481284470101
Bit_843,0.0008800584864248842
Bit_1536,0.0008723342132254594
Bit_964,0.0008620352825289485
Bit_1721,0.000852573729783646
Bit_1676,0.0008475854522179318
Bit_1163,0.0008450188849544462
Bit_180,0.0008444030905924777
Bit_1520,0.0008421889326172347
Bit_619,0.0008376359486300356
Bit_1440,0.0008348072372622742
Bit_202,0.000824109283554577
Bit_1095,0.0008219548831140431
Bit_1136,0.0008210116089623096
Bit_322,0.0008207733091534841
Bit_775,0.0008186540697547422
Bit_1070,0.0008184213859499594
Bit_31,0.000815542826322861
Bit_888,0.0008138521359082791
Bit_1435,0.0008119282189644522
Bit_637,0.0008074481325304036
Bit_231,0.0007982505777446116
Bit_1738,0.0007968579181784079
Bit_1837,0.0007952409479094697
Bit_798,0.0007937704211636247
Bit_547,0.0007884101915554333
Bit_407,0.0007849113747015774
Bit_176,0.000779029568011911
Bit_1119,0.0007772187370061884
Bit_689,0.0007748290275797708
Bit_114,0.0007745748110562635
Bit_221,0.0007731734827708121
Bit_1816,0.0007720330065076739
Bit_1045,0.0007696729030653385
Bit_1950,0.0007694619238866851
Bit_1497,0.0007623531653241107
Bit_1733,0.0007602764373957903
Bit_1215,0.000758949914161821
Bit_45,0.0007551621943636316
Bit_1292,0.0007522131178842907
Bit_869,0.0007494626992561378
Bit_1984,0.000747503264956502
Bit_1318,0.0007458189996592348
Bit_1387,0.0007432430063975571
Bit_352,0.0007402976966947246
Bit_1238,0.0007310994777435387
Bit_34,0.0007286802126536329
Bit_525,0.000728580132589971
Bit_14,0.0007276789048853358
Bit_1451,0.0007261260030059562
Bit_828,0.0007258463814106519
Bit_794,0.0007248889418504558
Bit_392,0.0007190201194460042
Bit_394,0.0007184870803196187
Bit_1922,0.0007157394606531958
Bit_440,0.000713312262667579
Bit_134,0.0007120181037134843
Bit_1111,0.0007094606551887484
Bit_4,0.0007081285724378098
Bit_54,0.0006958739886210235
Bit_1416,0.000694691266632968
Bit_1876,0.0006922371207123143
Bit_607,0.000688234837921742
Bit_2004,0.0006855469340416504
Bit_816,0.0006854015903438947
Bit_718,0.0006833633776008104
Bit_1384,0.0006826179542913872
Bit_458,0.0006803520554768908
Bit_488,0.0006797805192978491
Bit_361,0.0006795048458923344
Bit_522,0.00067862729322397
Bit_1905,0.0006778565605100025
Bit_11,0.0006762823899625242
Bit_1859,0.0006751426971077949
Bit_747,0.0006740964037254383
Bit_1510,0.0006739375612068656
Bit_194,0.0006702166744603639
Bit_858,0.0006679072824434892
Bit_147,0.0006629532176214154
Bit_249,0.0006614580947497173
Bit_653,0.0006576398416621379
Bit_64,0.0006534364646809969
Bit_1236,0.0006522562137504132
Bit_1179,0.0006501274231294971
Bit_1469,0.0006481897863827379
Bit_591,0.0006464957763535523
Bit_1864,0.0006432376524394017
Bit_1274,0.0006413826629226152
Bit_1665,0.0006412186823225757
Bit_1794,0.00064110484697362
Bit_461,0.0006411030469050014
Bit_790,0.0006361329956124882
Bit_1604,0.000634645813193905
Bit_472,0.0006342222731454249
Bit_1024,0.0006327820276831761
Bit_172,0.0006280091662682584
Bit_782,0.0006268910141180914
Bit_1456,0.0006253823682602497
Bit_1775,0.0006251392170244349
Bit_278,0.0006248036147342555
Bit_1946,0.0006240353024330562
Bit_1471,0.0006231476734240797
Bit_1228,0.0006224309614810018
Bit_1444,0.000621254192896612
Bit_1214,0.0006179643124373595
Bit_92,0.0006161192962090375
Bit_1800,0.00061361078714441
Bit_1747,0.0006083031476156953
Bit_1294,0.0006083020872072666
Bit_1065,0.0006067182424573347
Bit_1868,0.0006047296591385654
Bit_1410,0.0006027399012030739
Bit_1423,0.0006026502480753333
Bit_859,0.0006021226724830513
Bit_340,0.0006000844134875645
Bit_1004,0.0005982914301047004
Bit_108,0.0005973827163826961
Bit_840,0.0005972953000403474
Bit_1205,0.0005967031302495094
Bit_883,0.0005948282460399582
Bit_1725,0.0005931386923826312
Bit_693,0.0005922216345617755
Bit_1623,0.0005918191261337359
Bit_1148,0.0005902268035207289
Bit_1966,0.0005895727650719938
Bit_2020,0.00058863796166139
Bit_1298,0.0005886120254636838
Bit_1978,0.0005854282551464292
Bit_1574,0.0005834354692956425
Bit_1405,0.000579870523874232
Bit_1455,0.0005780886202218471
Bit_1386,0.000576102801490701
Bit_1308,0.0005740218783596617
Bit_1164,0.0005724551443041298
Bit_633,0.0005715231234540452
Bit_1143,0.0005699872282721412
Bit_373,0.000567779668354883
Bit_1992,0.0005651440253564486
Bit_1524,0.0005611604610998159
Bit_451,0.000558971566364483
Bit_1362,0.0005587560155011598
Bit_102,0.0005580335870929976
Bit_1968,0.0005565123504216084
Bit_1773,0.0005538126571861566
Bit_687,0.0005528776561883172
Bit_1535,0.0005527279021642674
Bit_835,0.0005524918115570125
Bit_781,0.0005516374104656182
Bit_357,0.0005514413241395794
Bit_1181,0.0005513280658831086
Bit_1399,0.0005504229694495838
Bit_1391,0.0005494875031119347
Bit_872,0.000548183721742313
Bit_1763,0.0005472956350440194
Bit_1927,0.0005471714730949024
Bit_276,0.0005468728080273235
Bit_1929,0.0005458275940956584
Bit_1708,0.0005449753287049943
Bit_809,0.0005415959974778858
Bit_281,0.0005403652740204413
Bit_802,0.000540009622125261
Bit_800,0.0005356905275520204
Bit_1852,0.0005353406631566074
Bit_74,0.0005340246733806001
Bit_1994,0.0005323718138934012
Bit_584,0.0005320507146258668
Bit_887,0.0005309394860143889
Bit_277,0.0005283252015376058
Bit_13,0.0005259778136943758
Bit_1523,0.0005250162406370827
Bit_1074,0.0005233726151483079
Bit_614,0.0005232506128322223
Bit_1537,0.0005196869518963794
Bit_479,0.0005191097790297603
Bit_673,0.0005182325773702991
Bit_115,0.0005181981481936595
Bit_1162,0.0005180012662083632
Bit_1736,0.0005178916722873978
Bit_1581,0.000515481141464962
Bit_1267,0.0005147175036599708
Bit_195,0.000509338908648137
Bit_386,0.0005080033271718173
Bit_1096,0.000506206113385422
Bit_1642,0.0005056079638043024
Bit_16,0.0005046174325975598
Bit_454,0.0005045713354193636
Bit_289,0.0005040051048783426
Bit_1812,0.0005015005649679816
Bit_351,0.0005010211854500458
Bit_1584,0.0005006584495659673
Bit_121,0.0005003141266532398
Bit_1910,0.0004990379287123781
Bit_1295,0.0004988265940372148
Bit_1597,0.0004987184899510956
Bit_1854,0.0004966123994758054
Bit_535,0.0004965474899210246
Bit_1693,0.0004945029303358805
Bit_1635,0.0004925692624396257
Bit_84,0.0004919051428124093
Bit_1285,0.0004890174356293277
Bit_165,0.0004873271996047026
Bit_464,0.00048377007705505224
Bit_1073,0.00048204966628820014
Bit_957,0.0004817019650797326
Bit_1500,0.0004808761358338694
Bit_1670,0.00048052841405247046
Bit_1453,0.0004804379901354649
Bit_758,0.0004802183718678041
Bit_983,0.00047877192697189135
Bit_291,0.00047847353858324895
Bit_1508,0.0004770844981923597
Bit_368,0.00047651641670807366
Bit_474,0.0004752731114471826
Bit_1610,0.00047407245663004164
Bit_837,0.00047339750081955143
Bit_18,0.0004731300304509812
Bit_1495,0.0004720354462034669
Bit_691,0.0004711802574203912
Bit_1507,0.0004698182658149775
Bit_1417,0.0004682744950189445
Bit_1991,0.0004680920698036073
Bit_1825,0.00046782339220182974
Bit_1264,0.00046739336364255235
Bit_1224,0.0004669169705130325
Bit_33,0.0004668870897038883
Bit_1049,0.00046522035403084313
Bit_1951,0.0004643055266680756
Bit_1663,0.00046209055465691926
Bit_608,0.0004593674663617365
Bit_506,0.0004592735306334072
Bit_1027,0.0004579897521693179
Bit_1328,0.0004578879152494095
Bit_125,0.00045728417577773527
Bit_674,0.00045622925044416844
Bit_900,0.00045583744877304244
Bit_1403,0.0004553623076701985
Bit_83,0.0004544342769543796
Bit_1321,0.00045439390254006
Bit_236,0.00045230472590414696
Bit_1013,0.00045177987722413515
Bit_1863,0.00044879308292553093
Bit_1980,0.0004479116879249765
Bit_1032,0.0004477329076215232
Bit_847,0.000447382590930589
Bit_587,0.00044689881993488744
Bit_29,0.0004466233607947928
Bit_145,0.0004454646893862631
Bit_1657,0.00044410581426798293
Bit_1865,0.0004437202910720995
Bit_2007,0.000443168369526442
Bit_2021,0.0004405095638673713
Bit_162,0.00044050681304783995
Bit_397,0.00043946722234869206
Bit_1567,0.00043926045655098107
Bit_1167,0.0004390983874972502
Bit_1270,0.0004387038633276776
Bit_984,0.00043839059592395215
Bit_157,0.0004383202945892716
Bit_971,0.0004383001086717955
Bit_232,0.00043798201224422176
Bit_1532,0.0004378280442840106
Bit_576,0.00043779001136168424
Bit_1942,0.0004367653081946111
Bit_1005,0.0004364498663797577
Bit_1880,0.00043589173494502426
Bit_158,0.00043511771410474105
