Bit,Importance,Molecules,Environments
1104,0.0121350031847197,5,5
1921,0.0111154905429773,4,5
1037,0.0106055523344056,4,5
1844,0.0104842500536767,5,5
1171,0.0097780083358094,2,5
623,0.0092690427550542,5,5
82,0.0082014903618278,5,5
489,0.0078128956526083,4,5
1607,0.0076059428502701,2,5
1019,0.0069428140178354,2,5
1290,0.0068134295590671,5,5
1754,0.0066871559403705,4,5
1977,0.0066617985116747,4,5
610,0.0065019774535098,4,5
1066,0.0064644261946864,3,5
1487,0.0063312730146363,2,5
80,0.0063023460248859,2,5
550,0.0062348890452598,5,5
389,0.0061964996161679,5,5
786,0.0059821608765136,5,5
